date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:22:25	144/144	U-----	200	untouched ('OK')	text/plain	date:Sun,%2029%20May%202022%2011:05:43%20GMT	https://www.americafirst.com/robots.txt		(from )
06:22:26	312427/312427	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2029%20May%202022%2011:22:27%20GMT	https://www.americafirst.com/	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/index.html	(from )
06:22:35	0/0	U-----	200	untouched ('OK')	text/css	date:Sun,%2029%20May%202022%2011:05:44%20GMT	https://www.americafirst.com/etc/designs/afcu.css	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/etc/designs/afcu.css	(from https://www.americafirst.com/)
06:22:39	1150/1150	U--M-Z	200	updated ('OK')	image/vnd.microsoft.icon	date:Sun,%2029%20May%202022%2011:22:39%20GMT	https://www.americafirst.com/etc/designs/afcu/favicon.ico	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/etc/designs/afcu/favicon.ico	(from https://www.americafirst.com/)
06:22:41	143/143	U--M-Z	200	updated ('OK')	text/css	date:Sun,%2029%20May%202022%2011:22:42%20GMT	https://www.americafirst.com/etc/clientlibs/afcu/vendor/loader.min.css	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/etc/clientlibs/afcu/vendor/loader.min.css	(from https://www.americafirst.com/)
06:22:41	19381/19381	U--M-Z	200	updated ('OK')	text/css	date:Sun,%2029%20May%202022%2011:22:43%20GMT	https://www.americafirst.com/etc/clientlibs/afcu/vendor/jqueryui.min.css	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/etc/clientlibs/afcu/vendor/jqueryui.min.css	(from https://www.americafirst.com/)
06:22:41	37618/37618	U--M-Z	200	updated ('OK')	application/javascript	date:Sun,%2029%20May%202022%2011:22:43%20GMT	https://www.americafirst.com/etc/clientlibs/afcu/vendor/jqueryui.min.js	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/etc/clientlibs/afcu/vendor/jqueryui.min.js	(from https://www.americafirst.com/)
06:22:44	91741/91741	U--M-Z	200	updated ('OK')	application/javascript	date:Sun,%2029%20May%202022%2011:22:39%20GMT	https://www.americafirst.com/etc/clientlibs/afcu/vendor/jquery.min.js	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/etc/clientlibs/afcu/vendor/jquery.min.js	(from https://www.americafirst.com/)
06:22:47	178482/178482	U-----	200	untouched ('OK')	text/css	date:Sun,%2029%20May%202022%2011:05:48%20GMT	https://www.americafirst.com/etc/clientlibs/afcu/vendor/bootstrap.min.css?t=10302020	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/etc/clientlibs/afcu/vendor/bootstrap.min3774.css	(from https://www.americafirst.com/)
06:22:47	50134/50134	U-----	200	untouched ('')	application/javascript	date:Sun,%2029%20May%202022%2011:05:49%20GMT	https://www.americafirst.com/etc/clientlibs/afcu/vendor/bootstrap.min.js?t=10302020	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/etc/clientlibs/afcu/vendor/bootstrap.min3774.js	(from https://www.americafirst.com/)
