date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:05:42	144/144	---M-Z	200	added ('OK')	text/plain	date:Sun,%2029%20May%202022%2011:05:43%20GMT	https://www.americafirst.com/robots.txt		(from )
06:05:42	312427/312427	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2011:05:43%20GMT	https://www.americafirst.com/	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/index.html	(from )
06:05:44	0/0	---M--	200	added ('OK')	text/css	date:Sun,%2029%20May%202022%2011:05:44%20GMT	https://www.americafirst.com/etc/designs/afcu.css	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/etc/designs/afcu.css	(from https://www.americafirst.com/)
06:05:45	1150/1150	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	date:Sun,%2029%20May%202022%2011:05:46%20GMT	https://www.americafirst.com/etc/designs/afcu/favicon.ico	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/etc/designs/afcu/favicon.ico	(from https://www.americafirst.com/)
06:05:45	91741/91741	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2029%20May%202022%2011:05:47%20GMT	https://www.americafirst.com/etc/clientlibs/afcu/vendor/jquery.min.js	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/etc/clientlibs/afcu/vendor/jquery.min.js	(from https://www.americafirst.com/)
06:05:46	19381/19381	---M-Z	200	added ('OK')	text/css	date:Sun,%2029%20May%202022%2011:05:47%20GMT	https://www.americafirst.com/etc/clientlibs/afcu/vendor/jqueryui.min.css	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/etc/clientlibs/afcu/vendor/jqueryui.min.css	(from https://www.americafirst.com/)
06:05:46	37618/37618	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2029%20May%202022%2011:05:47%20GMT	https://www.americafirst.com/etc/clientlibs/afcu/vendor/jqueryui.min.js	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/etc/clientlibs/afcu/vendor/jqueryui.min.js	(from https://www.americafirst.com/)
06:05:46	143/143	---M-Z	200	added ('OK')	text/css	date:Sun,%2029%20May%202022%2011:05:48%20GMT	https://www.americafirst.com/etc/clientlibs/afcu/vendor/loader.min.css	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/etc/clientlibs/afcu/vendor/loader.min.css	(from https://www.americafirst.com/)
06:05:47	143/143	---M-Z	200	added ('OK')	text/css	date:Sun,%2029%20May%202022%2011:05:48%20GMT	https://www.americafirst.com/etc/clientlibs/afcu/components/general/loader.min.css	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/etc/clientlibs/afcu/components/general/loader.min.css	(from https://www.americafirst.com/)
06:05:49	178482/178482	---MCZ	200	added ('OK')	text/css	date:Sun,%2029%20May%202022%2011:05:48%20GMT	https://www.americafirst.com/etc/clientlibs/afcu/vendor/bootstrap.min.css?t=10302020	C:/My%20Web%20Sites/America%20First%20Credit%20Union/www.americafirst.com/etc/clientlibs/afcu/vendor/bootstrap.min3774.css	(from https://www.americafirst.com/)
